Function                                             CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Instructions Retired  Microarchitecture Usage(%)  Microarchitecture Usage:Microarchitecture Usage(%)  Microarchitecture Usage:CPI Rate  Module                                 Function (Full)                                                                                                                               Source File                      Start Address
ImGuiStorage::GetVoidPtrRef                            0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        ImGuiStorage::GetVoidPtrRef(unsigned int, void*)                                                                                              imgui.cpp                        0x417c0      
ImGuiWindow::GetID                                     0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        ImGuiWindow::GetID(char const*, char const*)                                                                                                  imgui.cpp                        0x5d890      
ImHashStr                                              0.001s                   0.001s                  0s                      0s             3,300,000                        6.7%                                                6.7%                             1.000  scene_tile_test                        ImHashStr(char const*, unsigned long, unsigned int)                                                                                           imgui.cpp                        0x5d8a5      
ImHashStr                                              0.001s                   0.001s                  0s                      0s             9,900,000                       13.3%                                               13.3%                             0.333  scene_tile_test                        ImHashStr(char const*, unsigned long, unsigned int)                                                                                           imgui.cpp                        0x44eb4      
ImLowerBound                                           0.001s                   0.001s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             1.000  scene_tile_test                        ImLowerBound(ImGuiStoragePair*, ImGuiStoragePair*, unsigned int)                                                                              imgui.cpp                        0x44f19      
ImLowerBound                                           0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        ImLowerBound(ImGuiStoragePair*, ImGuiStoragePair*, unsigned int)                                                                              imgui.cpp                        0x417e8      
ImMax<float>                                           0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        ImMax<float>(float, float)                                                                                                                    imgui_internal.h                 0x6298f      
ImMax<float>                                           0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        ImMax<float>(float, float)                                                                                                                    imgui_internal.h                 0xe1e1c      
ImRect::ContainsWithPad                                0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        ImRect::ContainsWithPad(ImVec2 const&, ImVec2 const&) const                                                                                   imgui_internal.h                 0x43ddb      
ImRect::ImRect                                         0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        ImRect::ImRect(ImVec2 const&, ImVec2 const&)                                                                                                  imgui_internal.h                 0xb530f      
ImSaturate                                             0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        ImSaturate(float)                                                                                                                             imgui_internal.h                 0x5011a      
ImVector<ImDrawCmd>::push_back                         0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        ImVector<ImDrawCmd>::push_back(ImDrawCmd const&)                                                                                              imgui.h                          0x84640      
ImVector<ImFontAtlas*>::begin                          0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        ImVector<ImFontAtlas*>::begin(void)                                                                                                           imgui.h                          0x7830d      
ImVector<ImGuiFocusScopeData>::resize                  0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        ImVector<ImGuiFocusScopeData>::resize(int)                                                                                                    imgui.h                          0x46d6b      
ImVector<ImGuiViewportP*>::operator[]                  0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                                    scene_tile_test                        ImVector<ImGuiViewportP*>::operator[](int)                                                                                                    imgui.h                          0x6d2e8      
RenderWindowTitleBarContents                           0.001s                   0.001s                  0s                      0s                     0                        7.7%                                                7.7%                                    scene_tile_test                        RenderWindowTitleBarContents                                                                                                                  imgui.cpp                        0x6351d      
SDL_FreeSurface                                        0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                                    libSDL2-2.0.so.0.3000.0                SDL_FreeSurface                                                                                                                               [Unknown]                        0x4c5e0      
SDL_GetTicks64                                         0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libSDL2-2.0.so.0.3000.0                SDL_GetTicks64                                                                                                                                [Unknown]                        0x54b50      
SetCurrentWindow                                       0.001s                   0.001s                  0s                      0s                     0                        9.1%                                                9.1%                                    scene_tile_test                        SetCurrentWindow(ImGuiWindow*)                                                                                                                imgui.cpp                        0x483a0      
UpdateDebugToolFlashStyleColor                         0.001s                   0.001s                  0s                      0s                     0                       50.0%                                               50.0%                             0.000  scene_tile_test                        UpdateDebugToolFlashStyleColor                                                                                                                imgui.cpp                        0x6ef48      
UpdateTexturesNewFrame                                 0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                                    scene_tile_test                        UpdateTexturesNewFrame                                                                                                                        imgui.cpp                        0x6d3db      
XML_ParserFree                                         0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libexpat.so.1.9.1                      XML_ParserFree                                                                                                                                [Unknown]                        0xfb80       
[libgallium-24.2.8-1ubuntu1~24.04.1.so]                0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  [libgallium-24.2.8-1ubuntu1~24.04.1.so]                                                                                                       [Unknown]                        0            
_IO_acquire_lock_fct                                   0.001s                   0.001s                  0s                      0s                     0                       64.3%                                               64.3%                             0.000  libc.so.6                              _IO_acquire_lock_fct                                                                                                                          libioP.h                         0x8649b      
_IO_new_file_seekoff                                   0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libc.so.6                              _IO_new_file_seekoff                                                                                                                          fileops.c                        0x93160      
_XSend                                                 0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libX11.so.6.4.0                        _XSend                                                                                                                                        [Unknown]                        0x40f60      
_Xlcmbstowcs                                           0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libX11.so.6.4.0                        _Xlcmbstowcs                                                                                                                                  [Unknown]                        0x5d450      
_XrmInternalStringToQuark                              0.001s                   0.001s                  0s                      0s             9,900,000                       33.3%                                               33.3%                             0.000  libX11.so.6.4.0                        _XrmInternalStringToQuark                                                                                                                     [Unknown]                        0x33530      
__GI__IO_file_doallocate                               0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libc.so.6                              __GI__IO_file_doallocate                                                                                                                      filedoalloc.c                    0x85120      
__GI___getpagesize                                     0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libc.so.6                              __GI___getpagesize                                                                                                                            getpagesize.c                    0x11f640     
__GI___libc_alloca_cutoff                              0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libc.so.6                              __GI___libc_alloca_cutoff                                                                                                                     alloca_cutoff.c                  0x98500      
__GI___poll                                            0.001s                   0.001s                  0s                      0s                     0                       50.0%                                               50.0%                                    libc.so.6                              __GI___poll                                                                                                                                   poll.c                           0x11b480     
__GI___pthread_disable_asynccancel                     0.001s                   0.001s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             2.000  libc.so.6                              __GI___pthread_disable_asynccancel                                                                                                            cancellation.c                   0x985d0      
__GI___pthread_enable_asynccancel                      0.001s                   0.001s                  0s                      0s                     0                                                                                                                    libc.so.6                              __GI___pthread_enable_asynccancel                                                                                                             cancellation.c                   0x98550      
___vsnprintf_chk                                       0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                                    libc.so.6                              ___vsnprintf_chk                                                                                                                              vsnprintf_chk.c                  0x138360     
__glDispatchCheckMultithreaded                         0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                                    libGLdispatch.so.0.0.0                 __glDispatchCheckMultithreaded                                                                                                                [Unknown]                        0x43320      
__libc_open64                                          0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libc.so.6                              __libc_open64                                                                                                                                 open64.c                         0x11b120     
__libc_recv                                            0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libc.so.6                              __libc_recv                                                                                                                                   recv.c                           0x12bbb0     
__mpn_divrem                                           0.001s                   0.001s                  0s                      0s                     0                       50.0%                                               50.0%                             0.000  libc.so.6                              __mpn_divrem                                                                                                                                  divrem.c                         0x58b50      
__printf_buffer_done                                   0.001s                   0.001s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libc.so.6                              __printf_buffer_done                                                                                                                          Xprintf_buffer_done.c            0x606f0      
__printf_fp_l_buffer                                   0.001s                   0.001s                  0s                      0s             3,300,000                        6.2%                                                6.2%                             2.000  libc.so.6                              __printf_fp_l_buffer                                                                                                                          printf_fp.c                      0x63150      
__recvmsg_syscall                                      0.001s                   0.001s                  0s                      0s                     0                        4.3%                                                4.3%                                    libc.so.6                              __recvmsg_syscall                                                                                                                             recvmsg.c                        0x12bde4     
__strncmp_avx2                                         0.001s                   0.001s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             3.000  libc.so.6                              __strncmp_avx2                                                                                                                                strcmp-avx2.S                    0x18c820     
_dbus_atomic_dec                                       0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                                    libdbus-1.so.3.32.4                    _dbus_atomic_dec                                                                                                                              [Unknown]                        0x342c0      
_dbus_rmutex_lock                                      0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libdbus-1.so.3.32.4                    _dbus_rmutex_lock                                                                                                                             [Unknown]                        0x26890      
_dl_relocate_object                                    0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  ld-linux-x86-64.so.2                   _dl_relocate_object                                                                                                                           dl-reloc.c                       0xf240       
_int_free_maybe_consolidate                            0.001s                   0.001s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             1.000  libc.so.6                              _int_free_maybe_consolidate                                                                                                                   malloc.c                         0xaab00      
_mm256_add_epi32                                       0.001s                   0.001s                  0s                      0s                     0                       25.0%                                               25.0%                             0.000  scene_tile_test                        _mm256_add_epi32                                                                                                                              avx2intrin.h                     0x25086      
_mm256_add_epi32                                       0.001s                   0.001s                  0s                      0s                     0                       66.7%                                               66.7%                             0.000  scene_tile_test                        _mm256_add_epi32                                                                                                                              avx2intrin.h                     0x24c99      
_mm256_blendv_epi8                                     0.001s                   0.001s                  0s                      0s                     0                       40.0%                                               40.0%                             0.000  scene_tile_test                        _mm256_blendv_epi8                                                                                                                            avx2intrin.h                     0x24cc4      
_mm256_cvtepi32_ps                                     0.001s                   0.001s                  0s                      0s            26,400,000                       50.0%                                               50.0%                             0.125  scene_tile_test                        _mm256_cvtepi32_ps                                                                                                                            avxintrin.h                      0x252a8      
_mm256_cvtepi32_ps                                     0.001s                   0.001s                  0s                      0s            23,100,000                      100.0%                                              100.0%                             0.000  scene_tile_test                        _mm256_cvtepi32_ps                                                                                                                            avxintrin.h                      0x2529a      
_mm256_cvttps_epi32                                    0.001s                   0.001s                  0s                      0s                     0                      100.0%                                              100.0%                             0.000  scene_tile_test                        _mm256_cvttps_epi32                                                                                                                           avxintrin.h                      0x24d3e      
_mm256_mul_ps                                          0.001s                   0.001s                  0s                      0s            16,500,000                       54.5%                                               54.5%                             1.200  scene_tile_test                        _mm256_mul_ps                                                                                                                                 avxintrin.h                      0x252ae      
_mm256_mullo_epi16                                     0.001s                   0.001s                  0s                      0s             3,300,000                       63.6%                                               63.6%                             2.000  scene_tile_test                        _mm256_mullo_epi16                                                                                                                            avx2intrin.h                     0x26e23      
_mm256_mullo_epi16                                     0.001s                   0.001s                  0s                      0s            33,000,000                       33.3%                                               33.3%                             0.900  scene_tile_test                        _mm256_mullo_epi16                                                                                                                            avx2intrin.h                     0x27547      
_mm256_mullo_epi16                                     0.001s                   0.001s                  0s                      0s            26,400,000                       38.7%                                               38.7%                             0.125  scene_tile_test                        _mm256_mullo_epi16                                                                                                                            avx2intrin.h                     0x27555      
_mm256_mullo_epi32                                     0.001s                   0.001s                  0s                      0s                     0                      100.0%                                              100.0%                             0.000  scene_tile_test                        _mm256_mullo_epi32                                                                                                                            avx2intrin.h                     0x250bc      
_mm256_mullo_epi32                                     0.001s                   0.001s                  0s                      0s                     0                       71.4%                                               71.4%                             0.000  scene_tile_test                        _mm256_mullo_epi32                                                                                                                            avx2intrin.h                     0x2509a      
_mm256_mullo_epi32                                     0.001s                   0.001s                  0s                      0s                     0                                                                                                                    scene_tile_test                        _mm256_mullo_epi32                                                                                                                            avx2intrin.h                     0x24cd4      
_mm256_mullo_epi32                                     0.001s                   0.001s                  0s                      0s                     0                      100.0%                                              100.0%                                    scene_tile_test                        _mm256_mullo_epi32                                                                                                                            avx2intrin.h                     0x24cf2      
_mm256_mullo_epi32                                     0.001s                   0.001s                  0s                      0s             3,300,000                       14.3%                                               14.3%                             0.000  scene_tile_test                        _mm256_mullo_epi32                                                                                                                            avx2intrin.h                     0x24cfc      
_mm256_set1_epi32                                      0.001s                   0.001s                  0s                      0s                     0                       35.7%                                               35.7%                                    scene_tile_test                        _mm256_set1_epi32                                                                                                                             avxintrin.h                      0x24c1b      
_mm256_set1_epi32                                      0.001s                   0.001s                  0s                      0s            19,800,000                       77.8%                                               77.8%                             0.167  scene_tile_test                        _mm256_set1_epi32                                                                                                                             avxintrin.h                      0x2550d      
_mm256_set1_epi32                                      0.001s                   0.001s                  0s                      0s             9,900,000                        0.0%                                                0.0%                             0.000  scene_tile_test                        _mm256_set1_epi32                                                                                                                             avxintrin.h                      0x25517      
_mm256_set1_epi32                                      0.001s                   0.001s                  0s                      0s                     0                      100.0%                                              100.0%                             0.000  scene_tile_test                        _mm256_set1_epi32                                                                                                                             avxintrin.h                      0x2552a      
_mm256_set_epi16                                       0.001s                   0.001s                  0s                      0s            23,100,000                        8.7%                                                8.7%                             0.143  scene_tile_test                        _mm256_set_epi16                                                                                                                              avxintrin.h                      0x26e15      
_mm256_srai_epi32                                      0.001s                   0.001s                  0s                      0s            19,800,000                        0.0%                                                0.0%                             0.167  scene_tile_test                        _mm256_srai_epi32                                                                                                                             avx2intrin.h                     0x255fa      
_mm256_storeu_si256                                    0.001s                   0.001s                  0s                      0s            29,700,000                       46.8%                                               46.8%                             0.556  scene_tile_test                        _mm256_storeu_si256                                                                                                                           avxintrin.h                      0x25e94      
_mm256_sub_epi32                                       0.001s                   0.001s                  0s                      0s             6,600,000                       84.8%                                               84.8%                             2.500  scene_tile_test                        _mm256_sub_epi32                                                                                                                              avx2intrin.h                     0x255c3      
_mm_mullo_epi16                                        0.001s                   0.001s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  scene_tile_test                        _mm_mullo_epi16                                                                                                                               emmintrin.h                      0x240be      
_mm_unpackhi_epi8                                      0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        _mm_unpackhi_epi8                                                                                                                             emmintrin.h                      0x241c3      
_nl_lookup                                             0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libc.so.6                              _nl_lookup                                                                                                                                    localeinfo.h                     0x63320      
_nl_lookup                                             0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libc.so.6                              _nl_lookup                                                                                                                                    localeinfo.h                     0x6332f      
alpha_blend                                            0.001s                   0.001s                  0s                      0s             6,600,000                        0.0%                                                0.0%                             0.000  scene_tile_test                        alpha_blend                                                                                                                                   alpha.h                          0x247d5      
checked_request2size                                   0.001s                   0.001s                  0s                      0s                     0                       50.0%                                               50.0%                             0.000  libc.so.6                              checked_request2size                                                                                                                          malloc.c                         0xab590      
clamp                                                  0.001s                   0.001s                  0s                      0s            59,400,000                       32.3%                                               32.3%                             0.222  scene_tile_test                        clamp                                                                                                                                         clamp.h                          0x25d77      
clamp                                                  0.001s                   0.001s                  0s                      0s            16,500,000                       54.5%                                               54.5%                             0.000  scene_tile_test                        clamp                                                                                                                                         clamp.h                          0x226a6      
clamp                                                  0.001s                   0.001s                  0s                      0s            52,800,000                       35.3%                                               35.3%                             0.125  scene_tile_test                        clamp                                                                                                                                         clamp.h                          0x25fd5      
dbus_connection_get_dispatch_status                    0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libdbus-1.so.3.32.4                    dbus_connection_get_dispatch_status                                                                                                           [Unknown]                        0x14d50      
dbus_connection_ref                                    0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                                    libdbus-1.so.3.32.4                    dbus_connection_ref                                                                                                                           [Unknown]                        0x13410      
dbus_parse_address                                     0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libdbus-1.so.3.32.4                    dbus_parse_address                                                                                                                            [Unknown]                        0xdbc0       
elf_machine_rela_relative                              0.001s                   0.001s                  0s                      0s             3,300,000                        3.8%                                                3.8%                             2.000  ld-linux-x86-64.so.2                   elf_machine_rela_relative                                                                                                                     dl-machine.h                     0xf8eb       
filelist_new_from_decode                               0.001s                   0.001s                  0s                      0s             9,900,000                                                                                                             0.000  scene_tile_test                        filelist_new_from_decode                                                                                                                      filelist.c                       0x212e0      
free_tiles                                             0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  scene_tile_test                        free_tiles                                                                                                                                    scene_tile.c                     0xd2b0       
func@0x1071870                                         0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1071870                                                                                                                                [Unknown]                        0x1071870    
func@0x1073990                                         0.001s                   0.001s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1073990                                                                                                                                [Unknown]                        0x1073990    
func@0x10740f0                                         0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x10740f0                                                                                                                                [Unknown]                        0x10740f0    
func@0x1074270                                         0.001s                   0.001s                  0s                      0s             6,600,000                       11.8%                                               11.8%                             3.500  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1074270                                                                                                                                [Unknown]                        0x1074270    
func@0x1077d00                                         0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1077d00                                                                                                                                [Unknown]                        0x1077d00    
func@0x1079800                                         0.001s                   0.001s                  0s                      0s                     0                        0.0%                                                0.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1079800                                                                                                                                [Unknown]                        0x1079800    
